email,label
Your PayPal account is on hold. Provide credentials to resolve the issue.,malicious
HR reminder: Submit your timesheets by end of the week.,benign
Your account has been compromised. Click here to reset your password urgently.,malicious
Please review the latest policy changes and acknowledge receipt.,benign
You have an unpaid invoice. Click here to resolve immediately.,malicious
Team outing planned for next Friday. Let us know your availability.,benign
Your account has been compromised. Click here to reset your password urgently.,malicious
HR reminder: Submit your timesheets by end of the week.,benign  
This is an urgent security alert. Provide your login details to recover access.,malicious
Team outing planned for next Friday. Let us know your availability.,benign
Claim your lottery winnings now before they expire.,malicious
Lunch meeting scheduled at 1 PM today in the conference room.,benign
Update your bank details to avoid account suspension.,malicious
Here’s the document you requested for review.,benign
Your account has been compromised. Click here to reset your password urgently.,malicious
The client meeting has been postponed to next Wednesday.,benign
Your account has been compromised. Click here to reset your password urgently.,malicious
"Hello team, please find the attached report for last quarter’s sales.",benign
You've won a $1000 gift card! Claim your reward now.,malicious
HR reminder: Submit your timesheets by end of the week.,benign
You've won a $1000 gift card! Claim your reward now.,malicious
Lunch meeting scheduled at 1 PM today in the conference room.,benign
Your subscription is about to expire. Renew now to avoid termination.,malicious
The client meeting has been postponed to next Wednesday.,benign
Your account has been compromised. Click here to reset your password urgently.,malicious
Reminder: Project deadline is next Monday. Ensure all tasks are completed.,benign
Suspicious login detected! Verify your details immediately.,malicious
The client meeting has been postponed to next Wednesday.,benign
You have an unpaid invoice. Click here to resolve immediately.,malicious
HR reminder: Submit your timesheets by end of the week.,benign
This is an urgent security alert. Provide your login details to recover access.,malicious
Team outing planned for next Friday. Let us know your availability.,benign
Your PayPal account is on hold. Provide credentials to resolve the issue.,malicious
Lunch meeting scheduled at 1 PM today in the conference room.,benign
Update your bank details to avoid account suspension.,malicious
Reminder: Project deadline is next Monday. Ensure all tasks are completed.,benign
You have an unpaid invoice. Click here to resolve immediately.,malicious
Meeting scheduled for tomorrow at 10 AM. Please confirm your availability.,benign
Unusual activity detected. Click the link to verify your account.,malicious
Reminder: Project deadline is next Monday. Ensure all tasks are completed.,benign
Your PayPal account is on hold. Provide credentials to resolve the issue.,malicious
HR reminder: Submit your timesheets by end of the week.,benign
Claim your lottery winnings now before they expire.,malicious
Please review the latest policy changes and acknowledge receipt.,benign
Your PayPal account is on hold. Provide credentials to resolve the issue.,malicious
Weekly newsletter: Updates on ongoing projects and upcoming deadlines.,benign
Unusual activity detected. Click the link to verify your account.,malicious
Please review the latest policy changes and acknowledge receipt.,benign
Suspicious login detected! Verify your details immediately.,malicious
Weekly newsletter: Updates on ongoing projects and upcoming deadlines.,benign
Your subscription is about to expire. Renew now to avoid termination.,malicious
Here’s the document you requested for review.,benign
Update your bank details to avoid account suspension.,malicious
Please review the latest policy changes and acknowledge receipt.,benign
Your PayPal account is on hold. Provide credentials to resolve the issue.,malicious
"Hello team, please find the attached report for last quarter’s sales.",benign
Claim your lottery winnings now before they expire.,malicious
Please review the latest policy changes and acknowledge receipt.,benign
Your account has been compromised. Click here to reset your password urgently.,malicious
HR reminder: Submit your timesheets by end of the week.,benign
You've won a $1000 gift card! Claim your reward now.,malicious
"Hello team, please find the attached report for last quarter’s sales.",benign
You've won a $1000 gift card! Claim your reward now.,malicious
Here’s the document you requested for review.,benign
You have an unpaid invoice. Click here to resolve immediately.,malicious
Reminder: Project deadline is next Monday. Ensure all tasks are completed.,benign
Suspicious login detected! Verify your details immediately.,malicious
"Hello team, please find the attached report for last quarter’s sales.",benign
Your PayPal account is on hold. Provide credentials to resolve the issue.,malicious
"Hello team, please find the attached report for last quarter’s sales.",benign
Unusual activity detected. Click the link to verify your account.,malicious
Meeting scheduled for tomorrow at 10 AM. Please confirm your availability.,benign
Claim your lottery winnings now before they expire.,malicious
"Hello team, please find the attached report for last quarter’s sales.",benign  
Update your bank details to avoid account suspension.,malicious  
Meeting scheduled for tomorrow at 10 AM. Please confirm your availability.,benign  
Unusual activity detected. Click the link to verify your account.,malicious  
"Hello team, please find the attached report for last quarter’s sales.",benign  
You've won a $1000 gift card! Claim your reward now.,malicious  
Meeting scheduled for tomorrow at 10 AM. Please confirm your availability.,benign  
Your subscription is about to expire. Renew now to avoid termination.,malicious  
"Hello team, please find the attached report for last quarter’s sales.",benign  
You've won a $1000 gift card! Claim your reward now.,malicious  
Weekly newsletter: Updates on ongoing projects and upcoming deadlines.,benign  
Your account has been compromised. Click here to reset your password urgently.,malicious  
Lunch meeting scheduled at 1 PM today in the conference room.,benign  
Your subscription is about to expire. Renew now to avoid termination.,malicious  
Lunch meeting scheduled at 1 PM today in the conference room.,benign  
Your subscription is about to expire. Renew now to avoid termination.,malicious  
Lunch meeting scheduled at 1 PM today in the conference room.,benign  
Your PayPal account is on hold. Provide credentials to resolve the issue.,malicious  
Here’s the document you requested for review.,benign  
You've won a $1000 gift card! Claim your reward now.,malicious  
The client meeting has been postponed to next Wednesday.,benign  
Update your bank details to avoid account suspension.,malicious  
Please review the latest policy changes and acknowledge receipt.,benign  
You've won a $1000 gift card! Claim your reward now.,malicious  
Team outing planned for next Friday. Let us know your availability.,benign  
Your PayPal account is on hold. Provide credentials to resolve the issue.,malicious  
Lunch meeting scheduled at 1 PM today in the conference room.,benign  
Unusual activity detected. Click the link to verify your account.,malicious  
The client meeting has been postponed to next Wednesday.,benign  
Unusual activity detected. Click the link to verify your account.,malicious  
The client meeting has been postponed to next Wednesday.,benign  
This is an urgent security alert. Provide your login details to recover access.,malicious  
Please review the latest policy changes and acknowledge receipt.,benign  
You've won a $1000 gift card! Claim your reward now.,malicious  
Meeting scheduled for tomorrow at 10 AM. Please confirm your availability.,benign  
You've won a $1000 gift card! Claim your reward now.,malicious  
Meeting scheduled for tomorrow at 10 AM. Please confirm your availability.,benign  
Your PayPal account is on hold. Provide credentials to resolve the issue.,malicious  
"Hello team, please find the attached report for last quarter’s sales.",benign  
You've won a $1000 gift card! Claim your reward now.,malicious  
Here’s the document you requested for review.,benign  
Claim your lottery winnings now before they expire.,malicious  
Reminder: Project deadline is next Monday. Ensure all tasks are completed.,benign  
You have an unpaid invoice. Click here to resolve immediately.,malicious  
Reminder: Project deadline is next Monday. Ensure all tasks are completed.,benign  
Update your bank details to avoid account suspension.,malicious  
HR reminder: Submit your timesheets by end of the week.,benign  
Claim your lottery winnings now before they expire.,malicious  
"Hello team, please find the attached report for last quarter’s sales.",benign  
Your subscription is about to expire. Renew now to avoid termination.,malicious  
Here’s the document you requested for review.,benign  
Claim your lottery winnings now before they expire.,malicious  
Meeting scheduled for tomorrow at 10 AM. Please confirm your availability.,benign  
This is an urgent security alert. Provide your login details to recover access.,malicious  
The client meeting has been postponed to next Wednesday.,benign  
Your PayPal account is on hold. Provide credentials to resolve the issue.,malicious  
Reminder: Project deadline is next Monday. Ensure all tasks are completed.,benign  
Unusual activity detected. Click the link to verify your account.,malicious  
Team outing planned for next Friday. Let us know your availability.,benign  
This is an urgent security alert. Provide your login details to recover access.,malicious  
Team outing planned for next Friday. Let us know your availability.,benign  
Your account has been compromised. Click here to reset your password urgently.,malicious  
HR reminder: Submit your timesheets by end of the week.,benign  
Update your bank details to avoid account suspension.,malicious  
Weekly newsletter: Updates on ongoing projects and upcoming deadlines.,benign  
Your account has been compromised. Click here to reset your password urgently.,malicious  
Meeting scheduled for tomorrow at 10 AM. Please confirm your availability.,benign  
Your PayPal account is on hold. Provide credentials to resolve the issue.,malicious  
"Hello team, please find the attached report for last quarter’s sales.",benign  
Unusual activity detected. Click the link to verify your account.,malicious  
Lunch meeting scheduled at 1 PM today in the conference room.,benign  
You have an unpaid invoice. Click here to resolve immediately.,malicious  
Reminder: Project deadline is next Monday. Ensure all tasks are completed.,benign  
Your subscription is about to expire. Renew now to avoid termination.,malicious  
Reminder: Project deadline is next Monday. Ensure all tasks are completed.,benign  
You have an unpaid invoice. Click here to resolve immediately.,malicious  
